GRTS Cell,Location Name,Cell Area Name,Latitude,Longitude,First Year Sampled,N Years Sampled,Years Sampled,N Nights
206,srhbe1,POW,56.02041,-133.25235,2017,1,2017,24
206,srhbe2,POW,55.97537,-133.24431,2019,5,"2019, 2020, 2022, 2023, 2024",50
206,srhfr1,POW,56.05691,-133.21312,2015,1,2015,2
206,srhlk1,POW,55.99143,-133.23854,2017,1,2017,42
206,srhms1,POW,56.01637,-133.24383,2015,2,"2015, 2017",70
206,srhms2,POW,56.02714,-133.22321,2019,2,"2019, 2024",86
206,srhms3,POW,56.02714,-133.22321,2020,3,"2020, 2022, 2023",34
206,srhpd1,POW,56.06019,-133.21573,2019,5,"2019, 2020, 2022, 2023, 2024",70
206,srhrp1,POW,56.0204,-133.24865,2015,7,"2015, 2017, 2019, 2020, 2022, 2023, 2024",116
5006,tllfr1,Petersburg,56.65985,-132.83787,2015,1,2015,10
5006,tllfr2,Petersburg,56.65069,-132.82306,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",89
5006,tlllk2,Petersburg,56.65803,-132.67407,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",120
5006,tllms1,Petersburg,56.67385,-132.77744,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",87
5006,tllrp1,Petersburg,56.6492,-132.78866,2015,1,2015,2
5006,tllrp2,Petersburg,56.69115,-132.82988,2015,6,"2015, 2019, 2020, 2022, 2023, 2024",117
7054,hnkpd1,,55.87109,-132.88345,2015,1,2015,24
7054,hnkrp1,,55.87784,-132.83731,2015,1,2015,20
7054,hnkwt1,,55.87332,-132.87344,2015,1,2015,26
7054,hnkwt2,,55.87815,-132.83154,2015,1,2015,12
14222,stnfr1,,55.79907,-133.11502,2015,1,2015,26
14222,stnrp1,,55.8009,-133.11235,2015,1,2015,24
14222,stnwt1,,55.80983,-133.03758,2015,1,2015,24
18318,foofr1,Wrangell,56.2522,-132.06853,2015,4,"2015, 2019, 2020, 2021",22
18318,foofr2,Wrangell,56.25236,-132.06925,2022,3,"2022, 2023, 2024",51
18318,fooms1,Wrangell,56.24715,-132.08598,2022,3,"2022, 2023, 2024",21
18318,foopd1,Wrangell,56.28338,-132.1039,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",85
18318,foorp1,Wrangell,56.26848,-132.07169,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",97
24782,kakbe1,,56.8968,-133.8058,2015,1,2015,4
24782,kakfr1,,56.92286,-133.73519,2015,1,2015,10
24782,kakrp1,,56.87244,-133.67403,2015,1,2015,8
28110,frbfr1,,57.89266,-135.00079,2015,1,2015,4
28110,frbpd1,,57.82621,-134.99721,2015,1,2015,14
28110,frbrp1,,57.82946,-135.0112,2015,1,2015,4
29582,epsfr1,,56.45484,-132.27859,2015,1,2015,10
29582,epsms1,,56.42797,-132.25056,2015,1,2015,4
29582,epsrp2,,56.44923,-132.26643,2015,1,2015,4
30606,trobr2,,55.35198,-132.87739,2015,1,2015,4
30606,trofr1,,55.35336,-132.87654,2015,1,2015,8
30606,trorp2,,55.28049,-132.82971,2015,1,2015,8
30606,trowt1,,55.32741,-132.85892,2015,1,2015,16
31438,doube1,Douglas,58.26925,-134.43264,2015,1,2015,10
31438,doube2,Douglas,58.24628,-134.33602,2020,5,"2020, 2021, 2022, 2023, 2024",88
31438,doufr1,Douglas,58.2663,-134.37727,2020,4,"2020, 2021, 2022, 2024",68
31438,doums1,Douglas,58.26295,-134.38522,2024,1,2024,12
31438,dourp1,Douglas,58.26963,-134.43333,2015,6,"2015, 2020, 2021, 2022, 2023, 2024",82
31438,dourp2,Douglas,58.25287,-134.3463,2015,5,"2015, 2020, 2021, 2022, 2023",116
32654,excfr1,,56.23237,-133.07987,2015,1,2015,8
32654,excms1,,56.23899,-133.12913,2015,1,2015,8
33486,stkbe1,Sitka,57.1426,-135.37154,2015,1,2015,20
33486,stkbe2,Sitka,57.14225,-135.37183,2020,1,2020,20
33486,stkbe3,Sitka,57.14225,-135.37183,2019,3,"2019, 2023, 2024",47
33486,stkfr2,Sitka,57.13064,-135.35849,2019,1,2019,8
33486,stkms2,Sitka,57.10789,-135.37627,2022,3,"2022, 2023, 2024",114
33486,stkpd1,Sitka,57.09144,-135.36335,2019,4,"2019, 2020, 2023, 2024",52
33486,stkrp1,Sitka,57.12644,-135.35719,2015,1,2015,22
33486,stkrp2,Sitka,57.12843,-135.36066,2019,5,"2019, 2020, 2022, 2023, 2024",100
34254,hnhbe1,Hoonah,57.95608,-134.93798,2021,1,2021,4
34254,hnhbe2,Hoonah,57.95608,-134.93798,2022,3,"2022, 2023, 2024",30
34254,hnhfr1,Hoonah,57.9563,-134.94197,2020,1,2020,6
34254,hnhfr2,Hoonah,57.93862,-134.92329,2022,3,"2022, 2023, 2024",19
34254,hnhpd1,Hoonah,57.99781,-135.00408,2021,3,"2021, 2022, 2023",28
34254,hnhrp1,Hoonah,57.96783,-134.96655,2022,3,"2022, 2023, 2024",43
34338,yktfr1,Yakutat,59.56445,-139.61554,2019,2,"2019, 2020",8
34338,yktmd1,Yakutat,59.49062,-139.64204,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",102
34338,yktpd1,Yakutat,59.51789,-139.66391,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",126
34338,yktsb1,Yakutat,59.51027,-139.53528,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",156
47310,hhlfr1,Ketchikan,55.49629,-131.70515,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",108
47310,hhllk1,Ketchikan,55.49107,-131.59676,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",140
47310,hhlms1,Ketchikan,55.45411,-131.61887,2019,5,"2019, 2020, 2022, 2023, 2024",84
47310,hhlrp1,Ketchikan,55.44204,-131.62489,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",136
50638,hn2wt1,,58.06625,-135.20091,2020,1,2020,10
99790,hn3rp1,,57.92361,-134.93918,2020,1,2020,4
165326,hn4fr1,,58.00155,-134.9987,2021,1,2021,6
230862,hn9wt1,,58.01877,-135.11627,2020,1,2020,10
231310,wr3ms1,,56.22812,-132.07308,2015,4,"2015, 2019, 2020, 2021",34
315563,mvafr1,Valley,58.36437,-134.50136,2019,5,"2019, 2021, 2022, 2023, 2024",138
315563,mvalk1,Valley,58.38101,-134.62995,2019,5,"2019, 2020, 2022, 2023, 2024",112
315563,mvapd1,Valley,58.41152,-134.58606,2019,6,"2019, 2020, 2021, 2022, 2023, 2024",141
315563,mvawt1,Valley,58.3602,-134.60811,2019,2,"2019, 2020",26
315563,mvawt2,Valley,58.3602,-134.60811,2021,4,"2021, 2022, 2023, 2024",130
