"","species","term","estimate","std_error","z","p"
"1","LACI","Distance.to.Clutter..m.",-0.0804734938031154,0.0809888377386729,-0.993636852312656,0.320399696018554
"2","LACI","Nightly.Max.Temp",-0.417376221038572,0.183279937336162,-2.27726082355126,0.022770654913719
"3","LACI","Nightly.Max.RH",-0.192433661757055,0.0756977687191385,-2.54213122808205,0.0110178798305324
"4","LANO","Percent.Clutter",-0.0186005351770097,0.00907836470727091,-2.04888609091816,0.0404732547373205
"5","LANO","Water.Nearby",1.34292045276533,0.490390814200701,2.73846983645929,0.00617258224328119
"6","LANO","Nightly.Min.RH",-0.0453565627733194,0.0248263227660139,-1.8269545272895,0.0677066067300641
"7","MYCA","Percent.Clutter",0.0405247152503842,0.00679285355700141,5.96578667717859,2.4345818847181e-09
"8","MYCA","Nightly.Precipitation",-0.331900190515092,0.120839124626011,-2.74662855711923,0.00602112833537682
"9","MYEV","Distance.to.Clutter..m.",-0.0240091315107675,0.00834846115703265,-2.87587509352457,0.00402909114857925
"10","MYEV","Nightly.Max.Temp",0.307317800750563,0.108889217079086,2.82229782704159,0.004768087461721
"11","MYEV","Nightly.Min.RH",0.047234638326459,0.0193215527733833,2.4446605757032,0.0144988522225095
"12","MYEV","jNight",-0.058338295892644,0.0190231832108194,-3.06669474010345,0.00216439769536123
"13","MYLU","Percent.Clutter",-0.0267739172179044,0.00774601680401257,-3.45647548867117,0.00054728897940764
"14","MYLU","WaterDist",-0.00258142027212256,0.000820988878978438,-3.14428165620787,0.00166495106338645
"15","MYLU","Nightly.Precipitation",-0.202773947378654,0.084361707242964,-2.40362546000473,0.0162333956570343
"16","MYLU","Nightly.Mean.Windsp",-0.30820811260075,0.16806008519474,-1.83391619874293,0.0666664346286089
"17","MYVO","Nightly.Min.Temp",0.459126905066921,0.134976208099489,3.40153951227097,0.000670074412116202
"18","MYVO","Nightly.Max.RH",0.0709719483584499,0.0302613700718219,2.34529858330955,0.0190118476512814
"19","MYVO","jNight",-0.0851023454649833,0.0235980464703513,-3.60633010753268,0.000310558023095973
"20","MYYU","WaterDist",-0.0886525186720269,0.0230751676889801,-3.8419013836404,0.000122084889654825
"21","MYYU","Nightly.Max.Temp",3.02474182667547,0.674105906168518,4.48704246468851,7.22186845254542e-06
"22","MYYU","Nightly.Max.RH",0.994912050419183,0.275802736171528,3.6073320527191,0.00030936165245813
"23","MYYU","jNight",-0.483359485689208,0.141097147253655,-3.42572117932518,0.000613169470969103
