"","species","term","estimate","std_error","z","p"
"1","LACI","Nightly.Mean.Windsp",-0.641117105553523,1.22792177624433,-0.522115592342061,0.601589850787643
"2","LANO","Nightly.Precipitation",0.427743940743146,0.174692912416931,2.44854776776673,0.0143433409624045
"3","LANO","jNight",-0.0941378676465853,0.0149698499005419,-6.2884977653101,3.20552682232937e-10
"4","MYCA","Nightly.Max.RH",-0.130281050742685,0.0697851466721021,-1.86688796908077,0.0619172342948684
"5","MYEV","Nightly.Min.Temp",-0.275518458396889,0.103262540130699,-2.66813558961619,0.00762734698288089
"6","MYEV","Nightly.Max.RH",-0.0945590406881174,0.0600948534120875,-1.57349648629142,0.115603901282991
"7","MYEV","Nightly.Mean.Windsp",-0.490442573194005,0.204019951982144,-2.40389515059257,0.0162214250744341
"8","MYLU","Nightly.Precipitation",-0.2052823444949,0.159753542553468,-1.28499400522648,0.198794378892899
"9","MYVO","Nightly.Min.Temp",-0.145505733316507,0.0610494012589732,-2.38340967013366,0.0171530935669072
"10","MYVO","Nightly.Max.RH",-0.0706769506606041,0.0438061826024615,-1.6134012703639,0.106657357338671
"11","MYVO","Nightly.Mean.Windsp",-0.187894687799095,0.117177897538922,-1.60349939489812,0.108824442617202
