Covariate,LACI,LANO,MYCA,MYEV,MYLU,MYVO,MYYU
Initial occupancy,,,,,,,
Elevation, ,—,"-0.91 (-1.76, -0.16)",—,—,—,"-1.83 (-2.81, -0.95)"
Water nearby, ,—,"1.79 (0.49, 3.36)",—,—,—,—
Colonization,,,,,,,
Distance to road, ,"-0.49 (-0.91, -0.16)",—,—,—,"-0.61 (-1.35, -0.18)",—
Persistence,,,,,,,
Distance to road , ,"-0.42 (-0.73, -0.07)",—,—,—,—,"-0.78 (-1.40, -0.13)"
Detection,,,,,,,
Percent clutter, ,—,"0.22 (0.13, 0.32)","0.11 (0.02, 0.19)",—,"0.16 (0.08, 0.25)",—
Nightly temperature, ,"0.47 (0.36, 0.57)","0.23 (0.14, 0.33)",—,"0.24 (0.14, 0.34)","0.15 (0.06, 0.24)",—
Julian night, ,"0.18 (0.09, 0.27)","-0.20 (-0.29, -0.12)",—,"0.28 (0.19, 0.38)","0.13 (0.05, 0.22)","0.11 (0.01, 0.22)"
