grtsID,grid_name,site_code,site_lat,site_lon,site_elev,clutter_pct,habitat,habitat_category,water_type,strm_dist,lake_dist,harv_dist,harv_year,road_dist
206,Sarheen,srhbe1,56.02041,-133.25235,10,60,beach,forest-conifer,ocean,64.80,570.32,635.23,1992,888.29
206,Sarheen,srhbe2,55.97537,-133.24431,9,20,grass/sedge,grassland,ocean,34.28,706.32,97.59,1981,189.80
206,Sarheen,srhfr1,56.05691,-133.21312,104,90,conifer forest,forest-conifer,stream,31.69,351.09,705.29,1993,676.27
206,Sarheen,srhlk1,55.99143,-133.23854,52,50,old growth riparian,forest-conifer,lake,152.13,6.78,75.24,1982,77.48
206,Sarheen,srhms1,56.01637,-133.24383,29,30,muskeg,forested wetland,pond,85.39,34.18,386.01,1992,232.94
206,Sarheen,srhms2,56.02714,-133.22321,189,20,muskeg forest,forested wetland,lake,47.44,44.17,510.84,1992,554.10
206,Sarheen,srhms3,56.04461,-133.23018,632,25,muskeg,forested wetland,pond,135.36,0.00,732.63,1993,726.42
206,Sarheen,srhpd1,56.06019,-133.21573,107,25,muskeg forest,forest-conifer,pond,15.91,34.32,655.11,1993,339.27
206,Sarheen,srhrp1,56.0204,-133.24865,16,50,old growth riparian forest,forest-conifer,stream,18.30,458.58,428.65,1992,687.01
5006,Three Lakes Loop,tllfr1,56.65985,-132.83787,139,70,old growth forest,forest-conifer, ,274.50,1484.09,1023.82,1992,113.31
5006,Three Lakes Loop,tllfr2,56.65069,-132.82306,146,60,conifer forest,forest-conifer, ,157.64,488.89,1042.53,1979,122.64
5006,Three Lakes Loop,tlllk2,56.65803,-132.67407,46,25, ,grassland,lake,345.84,0.00,513.27,1972,405.88
5006,Three Lakes Loop,tllms1,56.67385,-132.77744,242,10,muskeg forest,forested wetland, ,529.26,2737.09,108.73,1973,216.58
5006,Three Lakes Loop,tllrp1,56.6492,-132.78866,67,40,riparian forest,forest-conifer,stream,1.04,2426.68,86.81,1980,2.72
5006,Three Lakes Loop,tllrp2,56.69115,-132.82988,27,70,riparian forest,forest-conifer,stream,41.19,1891.56,63.34,1970,62.50
7054,Honker,hnkpd1,55.87109,-132.88345,113,80,seasonal pond in old growth forest,forest-conifer,pond,175.48,149.86,374.44,1975,548.41
7054,Honker,hnkrp1,55.87784,-132.83731,99,70,2nd growth riparian forest,forest-conifer,stream,25.99,1530.18,0.00,1974,17.97
7054,Honker,hnkwt1,55.87332,-132.87344,75,60,old growth wetland,forest-conifer, ,85.83,743.36,107.94,1975,87.53
7054,Honker,hnkwt2,55.87815,-132.83154,75,40,2nd growth wetland,forest-conifer, ,14.62,1585.26,2.24,1974,83.42
14222,Staney,stnfr1,55.79907,-133.11502,30,80,old growth,forest-conifer, ,56.58,621.11,252.66,1975,86.56
14222,Staney,stnrp1,55.8009,-133.11235,62,50,old growth riparian,forest-conifer,stream,7.57,684.67,47.04,1972,88.20
14222,Staney,stnwt1,55.80983,-133.03758,14,20,wetland,wetland, ,24.92,19.18,0.00,1981,39.74
18318,Fools Creek,foofr1,56.2522,-132.06853,65,60,muskeg,forest-conifer, ,125.51,2449.21,215.44,2013,143.23
18318,Fools Creek,foofr2,56.25236,-132.06925,52,40,conifer forest,forest-conifer,stream,100.41,2401.21,171.07,2013,97.59
18318,Fools Creek,fooms1,56.24715,-132.08598,74,10,muskeg,forested wetland, ,57.26,1942.82,770.03,2013,267.10
18318,Fools Creek,foopd1,56.28338,-132.1039,173,30,pond,wetland,pond,490.56,48.65,53.66,1994,101.75
18318,Fools Creek,foorp1,56.26848,-132.07169,60,60,riparian,forest-conifer,stream,3.98,1382.91,75.15,2012,61.11
24782,Kake,kakbe1,56.8968,-133.8058,8,40,beach,forest-conifer,ocean,152.83,2565.01,137.86,1972,40.27
24782,Kake,kakfr1,56.92286,-133.73519,84,70,riparian,forest-conifer,stream,77.99,19.86,602.59,1975,883.51
24782,Kake,kakrp1,56.87244,-133.67403,11,70,old growth riparian,forest-conifer,stream,34.81,2056.74,433.21,1979,128.72
28110,Freshwater Bay,frbbr1,57.89849,-134.98381,11,40,beach riparian,forest-conifer,stream,15.14,485.03,1140.82,1991,1199.01
28110,Freshwater Bay,frbfr1,57.89266,-135.00079,10,60,old growth,forest-conifer, ,1142.98,752.37,1547.91,1990,2205.03
28110,Freshwater Bay,frbpd1,57.82621,-134.99721,9,10,beaver pond,forest-conifer,pond,543.02,874.15,520.62,2015,571.96
28110,Freshwater Bay,frbrp1,57.82946,-135.0112,7,30,riparian,forest-conifer,stream,9.72,25.48,741.65,1984,593.64
29582,East Pass,epsfr1,56.45484,-132.27859,104,60,forest,forest-conifer, ,34.47,1856.76,20.83,1997,45.57
29582,East Pass,epsms1,56.42797,-132.25056,12,60,muskeg,forested wetland, ,65.37,3062.12,65.49,2006,1231.84
30606,Trocadero,trobr2,55.35198,-132.87739,5,40,beach,forest-conifer,stream,43.83,998.29,714.14,1976,1821.14
30606,Trocadero,trofr1,55.35336,-132.87654,21,70,old growth,forest-conifer, ,117.39,882.23,707.76,1976,1759.15
30606,Trocadero,trorp2,55.28049,-132.82971,6,60,Trocadero Creek,forest-conifer,stream,29.06,2254.66,501.56,0,225.99
30606,Trocadero,trowt1,55.32741,-132.85892,41,20,wetland,wetland, ,112.68,1370.44,0.00,1967,31.65
31438,Douglas,douav1,58.28299,-134.37109,46,20,avalanche chute,shrubland, ,32.97,1822.33,1447.16,1900,143.30
31438,Douglas,doube1,58.26925,-134.43264,202,10,beach,forest-deciduous, ,34.34,1822.90,792.78,1900,2151.89
31438,Douglas,doube2,58.24628,-134.33602,16,40, ,forest-conifer, ,34.47,2988.80,0.00,1900,1574.19
31438,Douglas,doufr1,58.2663,-134.37727,50,70,conifer forest,forest-conifer,pond,212.30,116.88,0.00,1900,650.91
31438,Douglas,doums1,58.26295,-134.38522,167,10,wetland,forested wetland,stream,197.40,454.73,245.29,1900,883.91
31438,Douglas,dourp1,58.26963,-134.43333,186,70,forest riparian,forest-conifer,stream,1.63,1840.15,812.49,1900,2148.50
32654,Exchange Cove,excfr1,56.23237,-133.07987,57,90,old growth,forest-conifer, ,58.69,5717.07,143.43,1991,114.08
32654,Exchange Cove,excms1,56.23899,-133.12913,55,10,muskeg,forested wetland, ,224.45,3105.99,277.12,1978,66.85
33486,Sitka,stkbe1,57.1426,-135.37154,40,50,beach,forest-conifer,ocean,845.58,2286.45,816.29,1961,828.84
33486,Sitka,stkbe2,57.13358,-135.36881,18,40,beach,forest-conifer,ocean,188.96,2338.20,788.78,1974,91.99
33486,Sitka,stkbe3,57.14225,-135.37183,3,30,wetland,wetland,ocean,879.13,2304.00,858.98,1961,797.88
33486,Sitka,stkfr1,57.13339,-135.36267,3,70,forest,forest-conifer, ,423.77,2016.81,609.51,1974,124.51
33486,Sitka,stkfr2,57.13064,-135.35849,0,90,forest,forest-conifer, ,27.95,1987.27,303.37,1974,26.04
33486,Sitka,stkfr3,57.12891,-135.366,10,70, ,forest-conifer, ,70.04,2461.63,320.54,1974,30.02
33486,Sitka,stkms1,57.12811,-135.36742,0,30,muskeg,forested wetland, ,186.25,2584.14,377.12,1974,150.65
33486,Sitka,stkms2,57.10789,-135.37627,81,20,muskeg,forested wetland,pond,124.39,3545.45,2081.14,1974,367.99
33486,Sitka,stkpd1,57.09142,-135.36329,611,15,muskeg,forest-conifer,pond,326.95,1550.52,3110.80,1974,113.25
33486,Sitka,stkrp1,57.12644,-135.35719,20,50,riparian,forest-conifer,stream,20.26,2271.09,0.00,1974,84.42
33486,Sitka,stkrp2,57.12843,-135.36066,18,60,riparian,forest-conifer,stream,7.93,2250.13,44.71,1974,34.79
34254,Hoonah,hnhbe1,57.950847,-134.934417,2,90,conifer forest,forest-conifer,ocean,42.43,4709.27,185.15,1990,23.15
34254,Hoonah,hnhbe2,57.95608,-134.93798,3,20,wetland,wetland,ocean,20.07,4225.57,782.42,1990,235.40
34254,Hoonah,hnhfr1,57.9563,-134.94197,25,30,forest,forest-conifer, ,24.58,4007.91,933.57,1990,5.37
34254,Hoonah,hnhfr2,57.93834,-134.9239,38,60,conifer forest,forest-conifer, ,1418.53,4673.17,29.98,1990,23.99
34254,Hoonah,hnhpd1,57.997809,-135.004077,159,20,wetland,wetland,pond,197.60,18.14,356.33,1990,113.09
34254,Hoonah,hnhrp1,57.968045,-134.96699,22,70,conifer forest,forest-conifer,stream,18.43,2105.37,339.12,1989,55.24
34338,Yakutat,yktfr1,59.56445,-139.61554,30,80, ,forest-conifer, ,754.66,852.47,0.00,1971,145.94
34338,Yakutat,yktmd1,59.49062,-139.64204,6,30, ,grassland,stream,186.65,97.35,518.59,1975,328.21
34338,Yakutat,yktpd1,59.51789,-139.66391,14,60, ,forest-conifer,pond,20.79,466.06,805.55,1968,18.26
34338,Yakutat,yktsb1,59.51027,-139.53528,10,30, ,shrubland,river,30.35,1212.27,4188.21,1984,5596.28
47310,Harriett Hunt Lake,hhlfr1,55.49629,-131.70515,75,80,forest,forest-conifer,Forest,14.57,1416.78,1057.50,1924,1349.85
47310,Harriett Hunt Lake,hhllk1,55.49107,-131.59676,199,20,mixed forest,forest-conifer,lake,90.84,7.09,1141.25,1987,195.37
47310,Harriett Hunt Lake,hhlms1,55.45411,-131.61887,126,10,muskeg forest,forested wetland, ,164.34,871.10,256.55,2011,45.89
47310,Harriett Hunt Lake,hhlrp1,55.44204,-131.62489,150,60,forest,forest-conifer,stream,33.63,1064.15,201.35,1989,27.23
50638,Hoonah 2,hn2wt1,58.06625,-135.20091,68,20,wetland,wetland, ,84.31,1213.98,265.79,1988,24.80
70542,Petersburg 2,pb2lk1,56.6695,-132.67159,0,20,lake,forest-conifer,lake,68.47,12.55,1332.12,1972,948.80
99790,Hoonah 3,hn3fr1,57.92361,-134.93918,16,30,forest,forest-conifer, ,54.78,2832.22,79.05,1995,104.39
99790,Hoonah 3,hn3rp1,57.977198,-135.017132,38,90, ,forest-conifer, ,11.39,958.99,68.12,2001,91.18
165326,Hoonah 4,hn4fr1,58.001551,-134.998695,174,80,conifer forest,forest-conifer,stream,28.54,469.67,14.54,1998,338.93
230862,Hoonah 9,hn9wt1,58.01877,-135.11627,116,20,wetland,wetland, ,15.29,4353.05,98.38,1989,52.70
231310,Wrangell 3,wr3ms1,56.22812,-132.07308,129,30,muskeg,forested wetland, ,803.08,472.25,94.03,1991,160.91
315563,Mendenhall Valley,mvafr1,58.36437,-134.50136,33,70,conifer forest,forest-conifer,stream,18.70,1074.47,7601.14,1986,1217.53
315563,Mendenhall Valley,mvalk1,58.38101,-134.62995,23,40,conifer forest,forest-conifer,lake,336.56,33.61,10297.08,1986,56.27
315563,Mendenhall Valley,mvapd1,58.41152,-134.58606,20,30,muskeg forest,forest-conifer,pond,417.28,247.88,12649.82,1986,129.27
315563,Mendenhall Valley,mvawt1,58.3602,-134.60811,7,40,mixed forest,forest-deciduous,ocean,252.49,43.29,7650.61,1986,1193.51
315563,Mendenhall Valley,mvawt2,58.35964,-134.60812,5,10,wetland,wetland,river,191.86,98.59,7595.84,1986,1254.57
