GRTS Cell Id,GridCellName,Location Name,Latitude,Longitude
5006,Petersburg,tllfr2,56.65061952,-132.8231505
5006,Petersburg,tlllk2,56.65799572,-132.6740794
5006,Petersburg,tllms1,56.6737767,-132.7778308
5006,Petersburg,tllrp2,56.69099736,-132.8300197
18318,Wrangell,foofr2,56.25236,-132.06925
18318,Wrangell,foorp1,56.26862123,-132.0715713
18318,Wrangell,fooms1,56.24715725,-132.0859454
31438,Douglas,dourp1,58.26956379,-134.4333729
31438,Douglas,doums1,58.26289166,-134.3853252
31438,Douglas,doube2,58.24631306,-134.3364518
31438,Douglas,doufr1,58.26659799,-134.377253
33486,Sitka,stkbe3,57.13520636,-135.3695397
33486,Sitka,stkrp2,57.12783974,-135.3580685
33486,Sitka,stkpd1,57.09218883,-135.3639922
33486,Sitka,stkms2,57.10787492,-135.3763204
47310,Ketchikan,hhlfr1,55.49632601,-131.7052358
47310,Ketchikan,hhllk1,55.49104193,-131.5967381
47310,Ketchikan,hhlrp1,55.44195951,-131.6248659
47310,Ketchikan,hhlms1,55.45405611,-131.6189821
117173,Anchorage,Jewel Lake,61.1433,-149.963641
154037,Anchorage,Little Campbell Lake,61.2139008,-149.848064
203189,Anchorage,Basher Lake,61.15975,-149.742903
315563,Valley,mvafr1,58.36438275,-134.501357
315563,Valley,mvawt2,58.35964018,-134.6081918
315563,Valley,mvapd1,58.41151236,-134.5860951
18318,Wrangell,foopd1,56.28338,-132.1039
206,POW,srhrp1,56.0204,-133.24865
206,POW,srhpd1,56.06019,-133.21573
206,POW,srhms2,56.02714,-133.22321
206,POW,srhbe2,55.97537,-133.24431
34338,Yakutat,yktpd1,59.51789,-139.66391
34338,Yakutat,yktsb1,59.51027,-139.53528
34338,Yakutat,yktmd1,59.49062,-139.64204
315563,Valley,mvalk1,58.38101,-134.62995
34254,Hoonah,hnhfr2,57.93862,-134.92329
34254,Hoonah,hnhrp1,57.96783,-134.96655
34254,Hoonah,hnhbe2,57.95608,-134.93798
