,GRTS.Cell.ID,Quadrant,Night,LACI,LANO,MYCA,MYEV,MYLU,MYVO,MYYU,NoID,Year,Lat,Long,sset,srise,mrise,mset,GRTS_ID,Name,SiteName,Elevation,Habitat.Type,Feature.Sampled,Distance.to.Clutter..m.,Percent.Clutter,Water.Nearby,WaterDist,WaterType,Region,nightlen,observationtime,mtime,mtime2h,Nightly.Mean.Temp,Nightly.Min.Temp,Nightly.Max.Temp,Nightly.Mean.RH,Nightly.Min.RH,Nightly.Max.RH,Nightly.Precipitation,Nightly.Mean.Windsp,ddclim,WeatherSource,strm_dist,lake_dist,harv_dist,harv_year,road_dist,rnum,Fullcount,jNight,jNightM15,Habitat2,Count,SpeciesGroup,SpeciesFullPool,SpeciesSingleton,SpeciesPartPool,Site_key
2,206,NE1,2019-06-29,0,0,0,0,2,0,0,2,2019,56.02714,-133.22321,2019-06-29 21:42,2019-06-30 04:10,2019-06-30T02:49:59,NA,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.269085648,0.310752315,0.055787037,0.129965278,12.54285714,12.2,12.8,98.85714286,96,100,0,0.817460317,172.0810593,NA,47.44,44.17,510.84,1992,554.1,2,4,180,45,forested wetland,2,LACI,0,0,0,206
3,206,NE1,2019-07-01,0,0,1,2,0,1,0,3,2019,56.02714,-133.22321,2019-07-01 21:41,2019-07-02 04:11,2019-07-02T04:11:29,NA,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.270833333,0.3125,0.000347222,0.187152778,12.8,12.8,12.8,98.85714286,96,100,0,1.103174603,183.1810593,NA,47.44,44.17,510.84,1992,554.1,3,7,182,47,forested wetland,4,LACI,0,0,0,206
4,206,NE1,2019-07-02,0,0,0,4,0,2,0,5,2019,56.02714,-133.22321,2019-07-02 21:41,2019-07-03 04:12,NA,2019-07-02T21:51:04,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.27181713,0.313483796,0.006666667,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,NA,47.44,44.17,510.84,1992,554.1,4,11,183,48,forested wetland,6,LACI,0,0,0,206
5,206,NE1,2024-06-18,0,0,0,3,2,0,0,2,2024,56.02714,-133.22321,2024-06-18 21:43,2024-06-19 04:05,NA,2024-06-19T01:58:30,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.265717593,0.307384259,0.177418981,0.094085648,10,9.4,10.6,88.14285714,86,90,0,0.642857143,86.25235297,NA,47.44,44.17,510.84,1992,554.1,5,7,170,35,forested wetland,5,LACI,0,0,0,206
6,206,NE1,2024-06-19,0,0,8,6,1,2,0,2,2024,56.02714,-133.22321,2024-06-19 21:43,2024-06-20 04:05,NA,2024-06-20T02:17:45,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.265625,0.307291667,0.190590278,0.107256944,10.58571429,10,11.1,85.57142857,83,86,0,0.301587302,88.83236183,NA,47.44,44.17,510.84,1992,554.1,6,19,171,36,forested wetland,17,LACI,0,0,0,206
7,206,NE1,2024-06-20,0,0,2,17,3,5,0,7,2024,56.02714,-133.22321,2024-06-20 21:43,2024-06-21 04:06,NA,2024-06-21T02:51:15,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.265625,0.307291667,0.21369213,0.130358796,10.24285714,10,11.1,86,83,89,0,0,91.11664038,NA,47.44,44.17,510.84,1992,554.1,7,34,172,37,forested wetland,27,LACI,0,0,0,206
8,206,NE1,2024-06-21,0,0,0,0,0,0,0,3,2024,56.02714,-133.22321,2024-06-21 21:43,2024-06-22 04:06,2024-06-21T22:42:56,2024-06-22T03:47:40,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.265717593,0.307384259,0.21162037,0,12.84285714,12.2,13.3,83.85714286,77,90,1,0.214285714,94.16664038,NA,47.44,44.17,510.84,1992,554.1,8,3,173,38,forested wetland,0,LACI,0,0,0,206
9,206,NE1,2024-06-22,0,0,15,7,1,8,0,11,2024,56.02714,-133.22321,2024-06-22 21:43,2024-06-23 04:06,2024-06-22T23:27:31,NA,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.265902778,0.307569444,0.193865741,0,11.2,10.6,11.7,88.14285714,86,92,0,1.46031746,97.51664038,NA,47.44,44.17,510.84,1992,554.1,9,42,174,39,forested wetland,31,LACI,0,0,0,206
10,206,NE1,2024-06-23,0,0,0,24,1,8,0,18,2024,56.02714,-133.22321,2024-06-23 21:43,2024-06-24 04:07,2024-06-23T23:53:45,NA,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.266180556,0.307847222,0.1759375,0.006909722,12.21428571,11.7,12.8,80,74,83,0,0.428571429,101.4166404,NA,47.44,44.17,510.84,1992,554.1,10,51,175,40,forested wetland,33,LACI,0,0,0,206
11,206,NE1,2024-06-24,0,1,0,15,0,1,0,6,2024,56.02714,-133.22321,2024-06-24 21:43,2024-06-25 04:07,2024-06-25T00:09:25,NA,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.266539352,0.308206019,0.165393519,0.0178125,12.31428571,10.6,13.9,83.85714286,77,89,0,0,105.0166404,NA,47.44,44.17,510.84,1992,554.1,11,23,176,41,forested wetland,17,LACI,0,0,0,206
12,206,NE1,2024-06-25,0,1,1,5,1,3,0,4,2024,56.02714,-133.22321,2024-06-25 21:43,2024-06-26 04:08,2024-06-26T00:19:36,NA,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.267002315,0.308668981,0.158703704,0.024965278,12.78571429,12.2,13.3,89.42857143,80,93,1,0,110.8166404,NA,47.44,44.17,510.84,1992,554.1,12,15,177,42,forested wetland,11,LACI,0,0,0,206
13,206,NE1,2024-06-26,0,0,0,9,3,1,0,3,2024,56.02714,-133.22321,2024-06-26 21:43,2024-06-27 04:08,2024-06-27T00:27:00,NA,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.267534722,0.309201389,0.153981481,0.030219907,12.28571429,11.7,13.3,89,84,90,0,1.015873016,116.1166404,NA,47.44,44.17,510.84,1992,554.1,13,16,178,43,forested wetland,13,LACI,0,0,0,206
14,206,NE1,2024-06-27,0,0,1,2,0,0,0,3,2024,56.02714,-133.22321,2024-06-27 21:43,2024-06-28 04:09,2024-06-28T00:33:12,NA,206,POW,srhms2,189,forested wetland,NA,5,20,1,44.17,lake,Alaska,0.268171296,0.309837963,0.150138889,0.034699074,12.2,12.2,12.2,86.57142857,86,90,0,0.214285714,121.4166404,NA,47.44,44.17,510.84,1992,554.1,14,6,179,44,forested wetland,3,LACI,0,0,0,206
15,206,NE2,2019-06-28,0,0,24,0,539,16,0,453,2019,56.06019,-133.21573,2019-06-28 21:43,2019-06-29 04:09,2019-06-29T02:24:32,NA,206,POW,srhpd1,107,forest-conifer,Pond Edge,5,25,1,15.91,pond,Alaska,0.268009259,0.309675926,0.07275463,0.111921296,12.87142857,12.8,13.3,99.57142857,97,100,0,0.817460317,167.3810593,NA,15.91,34.32,655.11,1993,339.27,25,1032,179,44,forest-conifer,579,LACI,0,0,0,206
16,206,NE2,2019-06-29,0,0,29,0,398,33,0,629,2019,56.06019,-133.21573,2019-06-29 21:43,2019-06-30 04:10,2019-06-30T02:49:48,NA,206,POW,srhpd1,107,forest-conifer,Pond Edge,5,25,1,15.91,pond,Alaska,0.268738426,0.310405093,0.055717593,0.1296875,12.54285714,12.2,12.8,98.85714286,96,100,0,0.817460317,172.0810593,NA,15.91,34.32,655.11,1993,339.27,26,1089,180,45,forest-conifer,460,LACI,0,0,0,206
17,206,NE2,2019-06-30,0,0,39,4,419,55,0,1091,2019,56.06019,-133.21573,2019-06-30 21:42,2019-07-01 04:10,2019-07-01T03:24:03,NA,206,POW,srhpd1,107,forest-conifer,Pond Edge,5,25,1,15.91,pond,Alaska,0.269560185,0.311226852,0.032488426,0.153738426,13.64285714,13.3,13.9,93.57142857,89,97,0,0.373015873,177.3810593,NA,15.91,34.32,655.11,1993,339.27,27,1608,181,46,forest-conifer,517,LACI,0,0,0,206
18,206,NE2,2019-07-01,0,0,28,6,439,38,0,899,2019,56.06019,-133.21573,2019-07-01 21:42,2019-07-02 04:11,2019-07-02T04:11:14,NA,206,POW,srhpd1,107,forest-conifer,Pond Edge,5,25,1,15.91,pond,Alaska,0.270486111,0.312152778,0.000324074,0.186828704,12.8,12.8,12.8,98.85714286,96,100,0,1.103174603,183.1810593,NA,15.91,34.32,655.11,1993,339.27,28,1410,182,47,forest-conifer,511,LACI,0,0,0,206
