,GRTS.Cell.ID,Quadrant,Night,LACI,LANO,MYCA,MYEV,MYLU,MYVO,MYYU,Year,Lat,Long,sset,srise,mrise,mset,GRTS_ID,Name,SiteName,Elevation,Habitat.Type,Feature.Sampled,Distance.to.Clutter..m.,Percent.Clutter,Water.Nearby,WaterDist,WaterType,Region,nightlen,observationtime,mtime,mtime2h,Nightly.Mean.Temp,Nightly.Min.Temp,Nightly.Max.Temp,Nightly.Mean.RH,Nightly.Min.RH,Nightly.Max.RH,Nightly.Precipitation,Nightly.Mean.Windsp,ddclim,WeatherSource,strm_dist,lake_dist,harv_dist,harv_year,road_dist,rnum,jNight,jNightM15,Habitat2,TLength,SpeciesGroup,SpeciesFullPool,SpeciesSingleton,SpeciesPartPool,Site_key
3,206,Transects,2019-07-02,0,0,0,1,1,0,0,2019,55.87387,-133.21478,2019-07-02 21:40,2019-07-03 04:13,,2019-07-02T21:49:59,206,POW,,,,,,,,,,Alaska,0.273391204,0.31505787,0.006724537,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,Meteostat,,,,,,250,183,48,,48.88809967,LACI,0,0,0,206
12,5006,Transects,2019-07-02,0,1,1,0,11,4,0,2019,56.59215,-132.7485,2019-07-02 21:43,2019-07-03 04:06,,2019-07-02T21:53:01,5006,Petersburg,,,,,,,,,,Alaska,0.265856481,0.307523148,0.006354167,0,16.125,15.6,16.7,86.75,84,90,0,0.902777778,196.0917564,Meteostat,,,,,,561,183,48,,49.30189896,LACI,0,0,0,5006
61,206,Transects,2019-07-02,0,0,0,1,1,0,0,2019,55.87387,-133.21478,2019-07-02 21:40,2019-07-03 04:13,,2019-07-02T21:49:59,206,POW,,,,,,,,,,Alaska,0.273391204,0.31505787,0.006724537,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,Meteostat,,,,,,250,183,48,,48.88809967,LANO,0,0,0,206
70,5006,Transects,2019-07-02,0,1,1,0,11,4,0,2019,56.59215,-132.7485,2019-07-02 21:43,2019-07-03 04:06,,2019-07-02T21:53:01,5006,Petersburg,,,,,,,,,,Alaska,0.265856481,0.307523148,0.006354167,0,16.125,15.6,16.7,86.75,84,90,0,0.902777778,196.0917564,Meteostat,,,,,,561,183,48,,49.30189896,LANO,1,1,1,5006
119,206,Transects,2019-07-02,0,0,0,1,1,0,0,2019,55.87387,-133.21478,2019-07-02 21:40,2019-07-03 04:13,,2019-07-02T21:49:59,206,POW,,,,,,,,,,Alaska,0.273391204,0.31505787,0.006724537,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,Meteostat,,,,,,250,183,48,,48.88809967,MYCA,0,0,0,206
128,5006,Transects,2019-07-02,0,1,1,0,11,4,0,2019,56.59215,-132.7485,2019-07-02 21:43,2019-07-03 04:06,,2019-07-02T21:53:01,5006,Petersburg,,,,,,,,,,Alaska,0.265856481,0.307523148,0.006354167,0,16.125,15.6,16.7,86.75,84,90,0,0.902777778,196.0917564,Meteostat,,,,,,561,183,48,,49.30189896,MYCA,1,1,1,5006
177,206,Transects,2019-07-02,0,0,0,1,1,0,0,2019,55.87387,-133.21478,2019-07-02 21:40,2019-07-03 04:13,,2019-07-02T21:49:59,206,POW,,,,,,,,,,Alaska,0.273391204,0.31505787,0.006724537,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,Meteostat,,,,,,250,183,48,,48.88809967,MYEV,1,1,1,206
186,5006,Transects,2019-07-02,0,1,1,0,11,4,0,2019,56.59215,-132.7485,2019-07-02 21:43,2019-07-03 04:06,,2019-07-02T21:53:01,5006,Petersburg,,,,,,,,,,Alaska,0.265856481,0.307523148,0.006354167,0,16.125,15.6,16.7,86.75,84,90,0,0.902777778,196.0917564,Meteostat,,,,,,561,183,48,,49.30189896,MYEV,0,0,0,5006
235,206,Transects,2019-07-02,0,0,0,1,1,0,0,2019,55.87387,-133.21478,2019-07-02 21:40,2019-07-03 04:13,,2019-07-02T21:49:59,206,POW,,,,,,,,,,Alaska,0.273391204,0.31505787,0.006724537,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,Meteostat,,,,,,250,183,48,,48.88809967,MYLU,1,1,1,206
244,5006,Transects,2019-07-02,0,1,1,0,11,4,0,2019,56.59215,-132.7485,2019-07-02 21:43,2019-07-03 04:06,,2019-07-02T21:53:01,5006,Petersburg,,,,,,,,,,Alaska,0.265856481,0.307523148,0.006354167,0,16.125,15.6,16.7,86.75,84,90,0,0.902777778,196.0917564,Meteostat,,,,,,561,183,48,,49.30189896,MYLU,11,11,11,5006
293,206,Transects,2019-07-02,0,0,0,1,1,0,0,2019,55.87387,-133.21478,2019-07-02 21:40,2019-07-03 04:13,,2019-07-02T21:49:59,206,POW,,,,,,,,,,Alaska,0.273391204,0.31505787,0.006724537,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,Meteostat,,,,,,250,183,48,,48.88809967,MYVO,0,0,0,206
302,5006,Transects,2019-07-02,0,1,1,0,11,4,0,2019,56.59215,-132.7485,2019-07-02 21:43,2019-07-03 04:06,,2019-07-02T21:53:01,5006,Petersburg,,,,,,,,,,Alaska,0.265856481,0.307523148,0.006354167,0,16.125,15.6,16.7,86.75,84,90,0,0.902777778,196.0917564,Meteostat,,,,,,561,183,48,,49.30189896,MYVO,4,4,4,5006
351,206,Transects,2019-07-02,0,0,0,1,1,0,0,2019,55.87387,-133.21478,2019-07-02 21:40,2019-07-03 04:13,,2019-07-02T21:49:59,206,POW,,,,,,,,,,Alaska,0.273391204,0.31505787,0.006724537,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,Meteostat,,,,,,250,183,48,,48.88809967,MYYU,0,0,0,206
360,5006,Transects,2019-07-02,0,1,1,0,11,4,0,2019,56.59215,-132.7485,2019-07-02 21:43,2019-07-03 04:06,,2019-07-02T21:53:01,5006,Petersburg,,,,,,,,,,Alaska,0.265856481,0.307523148,0.006354167,0,16.125,15.6,16.7,86.75,84,90,0,0.902777778,196.0917564,Meteostat,,,,,,561,183,48,,49.30189896,MYYU,0,0,0,5006
4,206,Transects,2019-07-03,0,0,0,0,0,0,0,2019,55.87387,-133.21478,2019-07-03 21:39,2019-07-04 04:14,,2019-07-03T22:39:46,206,POW,,,,,,,,,,Alaska,0.274456019,0.316122685,0.041689815,0,13.72857143,13.3,13.9,93,89,97,0,0.642857143,193.1810593,Meteostat,,,,,,251,184,49,,48.88809967,LACI,0,0,0,206
62,206,Transects,2019-07-03,0,0,0,0,0,0,0,2019,55.87387,-133.21478,2019-07-03 21:39,2019-07-04 04:14,,2019-07-03T22:39:46,206,POW,,,,,,,,,,Alaska,0.274456019,0.316122685,0.041689815,0,13.72857143,13.3,13.9,93,89,97,0,0.642857143,193.1810593,Meteostat,,,,,,251,184,49,,48.88809967,LANO,0,0,0,206
120,206,Transects,2019-07-03,0,0,0,0,0,0,0,2019,55.87387,-133.21478,2019-07-03 21:39,2019-07-04 04:14,,2019-07-03T22:39:46,206,POW,,,,,,,,,,Alaska,0.274456019,0.316122685,0.041689815,0,13.72857143,13.3,13.9,93,89,97,0,0.642857143,193.1810593,Meteostat,,,,,,251,184,49,,48.88809967,MYCA,0,0,0,206
178,206,Transects,2019-07-03,0,0,0,0,0,0,0,2019,55.87387,-133.21478,2019-07-03 21:39,2019-07-04 04:14,,2019-07-03T22:39:46,206,POW,,,,,,,,,,Alaska,0.274456019,0.316122685,0.041689815,0,13.72857143,13.3,13.9,93,89,97,0,0.642857143,193.1810593,Meteostat,,,,,,251,184,49,,48.88809967,MYEV,0,0,0,206
236,206,Transects,2019-07-03,0,0,0,0,0,0,0,2019,55.87387,-133.21478,2019-07-03 21:39,2019-07-04 04:14,,2019-07-03T22:39:46,206,POW,,,,,,,,,,Alaska,0.274456019,0.316122685,0.041689815,0,13.72857143,13.3,13.9,93,89,97,0,0.642857143,193.1810593,Meteostat,,,,,,251,184,49,,48.88809967,MYLU,0,0,0,206
294,206,Transects,2019-07-03,0,0,0,0,0,0,0,2019,55.87387,-133.21478,2019-07-03 21:39,2019-07-04 04:14,,2019-07-03T22:39:46,206,POW,,,,,,,,,,Alaska,0.274456019,0.316122685,0.041689815,0,13.72857143,13.3,13.9,93,89,97,0,0.642857143,193.1810593,Meteostat,,,,,,251,184,49,,48.88809967,MYVO,0,0,0,206
352,206,Transects,2019-07-03,0,0,0,0,0,0,0,2019,55.87387,-133.21478,2019-07-03 21:39,2019-07-04 04:14,,2019-07-03T22:39:46,206,POW,,,,,,,,,,Alaska,0.274456019,0.316122685,0.041689815,0,13.72857143,13.3,13.9,93,89,97,0,0.642857143,193.1810593,Meteostat,,,,,,251,184,49,,48.88809967,MYYU,0,0,0,206
13,5006,Transects,2019-07-06,0,0,3,1,10,2,0,2019,56.59215,-132.7485,2019-07-06 21:41,2019-07-07 04:11,,2019-07-07T00:06:28,5006,Petersburg,,,,,,,,,,Alaska,0.270821759,0.312488426,0.10099537,0.017662037,16.81428571,15,18.9,79.14285714,70,87,0,1.453703704,225.4417564,Meteostat,,,,,,562,187,52,,49.30189896,LACI,0,0,0,5006
71,5006,Transects,2019-07-06,0,0,3,1,10,2,0,2019,56.59215,-132.7485,2019-07-06 21:41,2019-07-07 04:11,,2019-07-07T00:06:28,5006,Petersburg,,,,,,,,,,Alaska,0.270821759,0.312488426,0.10099537,0.017662037,16.81428571,15,18.9,79.14285714,70,87,0,1.453703704,225.4417564,Meteostat,,,,,,562,187,52,,49.30189896,LANO,0,0,0,5006
129,5006,Transects,2019-07-06,0,0,3,1,10,2,0,2019,56.59215,-132.7485,2019-07-06 21:41,2019-07-07 04:11,,2019-07-07T00:06:28,5006,Petersburg,,,,,,,,,,Alaska,0.270821759,0.312488426,0.10099537,0.017662037,16.81428571,15,18.9,79.14285714,70,87,0,1.453703704,225.4417564,Meteostat,,,,,,562,187,52,,49.30189896,MYCA,3,3,3,5006
187,5006,Transects,2019-07-06,0,0,3,1,10,2,0,2019,56.59215,-132.7485,2019-07-06 21:41,2019-07-07 04:11,,2019-07-07T00:06:28,5006,Petersburg,,,,,,,,,,Alaska,0.270821759,0.312488426,0.10099537,0.017662037,16.81428571,15,18.9,79.14285714,70,87,0,1.453703704,225.4417564,Meteostat,,,,,,562,187,52,,49.30189896,MYEV,1,1,1,5006
245,5006,Transects,2019-07-06,0,0,3,1,10,2,0,2019,56.59215,-132.7485,2019-07-06 21:41,2019-07-07 04:11,,2019-07-07T00:06:28,5006,Petersburg,,,,,,,,,,Alaska,0.270821759,0.312488426,0.10099537,0.017662037,16.81428571,15,18.9,79.14285714,70,87,0,1.453703704,225.4417564,Meteostat,,,,,,562,187,52,,49.30189896,MYLU,10,10,10,5006
303,5006,Transects,2019-07-06,0,0,3,1,10,2,0,2019,56.59215,-132.7485,2019-07-06 21:41,2019-07-07 04:11,,2019-07-07T00:06:28,5006,Petersburg,,,,,,,,,,Alaska,0.270821759,0.312488426,0.10099537,0.017662037,16.81428571,15,18.9,79.14285714,70,87,0,1.453703704,225.4417564,Meteostat,,,,,,562,187,52,,49.30189896,MYVO,2,2,2,5006
361,5006,Transects,2019-07-06,0,0,3,1,10,2,0,2019,56.59215,-132.7485,2019-07-06 21:41,2019-07-07 04:11,,2019-07-07T00:06:28,5006,Petersburg,,,,,,,,,,Alaska,0.270821759,0.312488426,0.10099537,0.017662037,16.81428571,15,18.9,79.14285714,70,87,0,1.453703704,225.4417564,Meteostat,,,,,,562,187,52,,49.30189896,MYYU,0,0,0,5006
37,34338,Transects,2019-08-02,0,0,0,0,6,0,0,2019,59.46394,-139.59129,2019-08-02 21:42,2019-08-03 05:07,,2019-08-02T22:46:26,34338,Yakutat,,,,,,,,,,Alaska,0.308715278,0.350381944,0.044270833,0,11.8875,10.6,13.9,95.625,89,100,0,0.375,293.2505851,Meteostat,,,,,,1763,214,79,,25.78700066,LACI,0,0,0,34338
95,34338,Transects,2019-08-02,0,0,0,0,6,0,0,2019,59.46394,-139.59129,2019-08-02 21:42,2019-08-03 05:07,,2019-08-02T22:46:26,34338,Yakutat,,,,,,,,,,Alaska,0.308715278,0.350381944,0.044270833,0,11.8875,10.6,13.9,95.625,89,100,0,0.375,293.2505851,Meteostat,,,,,,1763,214,79,,25.78700066,LANO,0,0,0,34338
153,34338,Transects,2019-08-02,0,0,0,0,6,0,0,2019,59.46394,-139.59129,2019-08-02 21:42,2019-08-03 05:07,,2019-08-02T22:46:26,34338,Yakutat,,,,,,,,,,Alaska,0.308715278,0.350381944,0.044270833,0,11.8875,10.6,13.9,95.625,89,100,0,0.375,293.2505851,Meteostat,,,,,,1763,214,79,,25.78700066,MYCA,0,0,0,34338
