"","species","year","date","Site","n_files"
"1","MYLU",2025,2025-07-10,154037,149
"2","MYLU",2025,2025-07-11,117173,6
"3","MYLU",2025,2025-07-12,117173,32
"4","MYLU",2025,2025-07-13,203189,22
"5","MYLU",2025,2025-07-14,154037,169
"6","MYLU",2025,2025-07-15,203189,22
"7","MYLU",2025,2025-07-16,117173,8
"8","MYLU",2025,2025-07-17,117173,46
"9","MYLUMYVO",2025,2025-07-13,203189,1
"10","MYLUMYVO",2025,2025-07-14,117173,1
"11","NOID",2025,2025-07-08,154037,5
"12","NOID",2025,2025-07-11,154037,57
"13","NOID",2025,2025-07-12,154037,4
"14","NOID",2025,2025-07-13,117173,5
"15","NOID",2025,2025-07-14,203189,9
"16","NOID",2025,2025-07-15,117173,1
"17","NOID",2025,2025-07-16,154037,25
"18","NOID",2025,2025-07-17,154037,20
