"","species_raw","SiteName","ts","species","Site_key","hr","nh","night_date","x","facet"
"1","MYLUMYVO","foofr2",2024-06-12 23:39:00,"MYLUMYVO","foofr2",23.65,23.65,2024-06-12,2001-06-12,"Unidentified"
"2","MYLUMYVO","foofr2",2024-06-13 00:58:00,"MYLUMYVO","foofr2",0.966666666666667,24.9666666666667,2024-06-12,2001-06-12,"Unidentified"
"3","fMYCA","foofr2",2024-06-14 00:10:00,"FMYCA","foofr2",0.166666666666667,24.1666666666667,2024-06-13,2001-06-13,"Unidentified"
"4","MYLUMYVO","foofr2",2024-06-14 00:30:00,"MYLUMYVO","foofr2",0.5,24.5,2024-06-13,2001-06-13,"Unidentified"
"5","MYLUMYVO","foofr2",2024-06-14 00:37:00,"MYLUMYVO","foofr2",0.616666666666667,24.6166666666667,2024-06-13,2001-06-13,"Unidentified"
"6","MYLUMYVO","foofr2",2024-06-14 00:50:00,"MYLUMYVO","foofr2",0.833333333333333,24.8333333333333,2024-06-13,2001-06-13,"Unidentified"
"7","MYLUMYVO","foofr2",2024-06-14 01:04:00,"MYLUMYVO","foofr2",1.06666666666667,25.0666666666667,2024-06-13,2001-06-13,"Unidentified"
"8","mMYLU","foofr2",2024-06-14 21:34:00,"MMYLU","foofr2",21.5666666666667,21.5666666666667,2024-06-14,2001-06-14,"Unidentified"
"9","fMYEV","foofr2",2024-06-14 23:04:00,"FMYEV","foofr2",23.0666666666667,23.0666666666667,2024-06-14,2001-06-14,"Unidentified"
"10","mMYLU","foofr2",2024-06-14 23:39:00,"MMYLU","foofr2",23.65,23.65,2024-06-14,2001-06-14,"Unidentified"
"11","mMYLU","foofr2",2024-06-15 00:09:00,"MMYLU","foofr2",0.15,24.15,2024-06-14,2001-06-14,"Unidentified"
"12","fMYVO","foofr2",2024-06-15 00:24:00,"FMYVO","foofr2",0.4,24.4,2024-06-14,2001-06-14,"Unidentified"
"13","fMYVO","foofr2",2024-06-15 01:16:00,"FMYVO","foofr2",1.26666666666667,25.2666666666667,2024-06-14,2001-06-14,"Unidentified"
"14","fMYVO","foofr2",2024-06-15 01:19:00,"FMYVO","foofr2",1.31666666666667,25.3166666666667,2024-06-14,2001-06-14,"Unidentified"
"15","fMYVO","foofr2",2024-06-15 01:39:00,"FMYVO","foofr2",1.65,25.65,2024-06-14,2001-06-14,"Unidentified"
"16","mMYCA","foofr2",2024-06-15 22:01:00,"MMYCA","foofr2",22.0166666666667,22.0166666666667,2024-06-15,2001-06-15,"Unidentified"
"17","mMYCA","foofr2",2024-06-15 22:55:00,"MMYCA","foofr2",22.9166666666667,22.9166666666667,2024-06-15,2001-06-15,"Unidentified"
"18","mMYCA","foofr2",2024-06-16 00:11:00,"MMYCA","foofr2",0.183333333333333,24.1833333333333,2024-06-15,2001-06-15,"Unidentified"
"19","MYLUMYVO","foofr2",2024-06-16 00:18:00,"MYLUMYVO","foofr2",0.3,24.3,2024-06-15,2001-06-15,"Unidentified"
"20","Myotis","foofr2",2024-06-16 00:24:00,"MYOTIS","foofr2",0.4,24.4,2024-06-15,2001-06-15,"Unidentified"
"21","MYLUMYVO","foofr2",2024-06-16 01:11:00,"MYLUMYVO","foofr2",1.18333333333333,25.1833333333333,2024-06-15,2001-06-15,"Unidentified"
"22","mMYLU","foofr2",2024-06-16 01:17:00,"MMYLU","foofr2",1.28333333333333,25.2833333333333,2024-06-15,2001-06-15,"Unidentified"
"23","mMYLU","foofr2",2024-06-16 01:17:00,"MMYLU","foofr2",1.28333333333333,25.2833333333333,2024-06-15,2001-06-15,"Unidentified"
"24","mMYLU","foofr2",2024-06-16 01:22:00,"MMYLU","foofr2",1.36666666666667,25.3666666666667,2024-06-15,2001-06-15,"Unidentified"
