"","species_raw","SiteName","GRTS.Cell.ID","ts","species","Site_key","hr","nh","night_date","x","facet"
"1","MYLU","SW",117173,2025-07-12 00:55:00,"MYLU","117173",0.916666666666667,24.9166666666667,2025-07-11,2001-07-11,"MYLU"
"2","MYLU","SW",117173,2025-07-12 01:28:00,"MYLU","117173",1.46666666666667,25.4666666666667,2025-07-11,2001-07-11,"MYLU"
"3","MYLU","SW",117173,2025-07-12 01:49:00,"MYLU","117173",1.81666666666667,25.8166666666667,2025-07-11,2001-07-11,"MYLU"
"4","NOID","SW",117173,2025-07-13 00:37:00,"NOID","117173",0.616666666666667,24.6166666666667,2025-07-12,2001-07-12,"Unidentified"
"5","NOID","SW",117173,2025-07-13 00:51:00,"NOID","117173",0.85,24.85,2025-07-12,2001-07-12,"Unidentified"
"6","MYLU","SW",117173,2025-07-13 01:10:00,"MYLU","117173",1.16666666666667,25.1666666666667,2025-07-12,2001-07-12,"MYLU"
"7","MYLU","SW",117173,2025-07-13 01:10:00,"MYLU","117173",1.16666666666667,25.1666666666667,2025-07-12,2001-07-12,"MYLU"
"8","MYLU","SW",117173,2025-07-13 01:28:00,"MYLU","117173",1.46666666666667,25.4666666666667,2025-07-12,2001-07-12,"MYLU"
"9","MYLU","SW",117173,2025-07-13 01:30:00,"MYLU","117173",1.5,25.5,2025-07-12,2001-07-12,"MYLU"
"10","MYLU","SW",117173,2025-07-13 01:31:00,"MYLU","117173",1.51666666666667,25.5166666666667,2025-07-12,2001-07-12,"MYLU"
"11","MYLU","SW",117173,2025-07-13 01:31:00,"MYLU","117173",1.51666666666667,25.5166666666667,2025-07-12,2001-07-12,"MYLU"
"12","MYLU","SW",117173,2025-07-13 03:05:00,"MYLU","117173",3.08333333333333,27.0833333333333,2025-07-12,2001-07-12,"MYLU"
"13","MYLU","SW",117173,2025-07-13 03:06:00,"MYLU","117173",3.1,27.1,2025-07-12,2001-07-12,"MYLU"
"14","MYLU","SW",117173,2025-07-13 03:08:00,"MYLU","117173",3.13333333333333,27.1333333333333,2025-07-12,2001-07-12,"MYLU"
"15","MYLU","SW",117173,2025-07-13 03:09:00,"MYLU","117173",3.15,27.15,2025-07-12,2001-07-12,"MYLU"
"16","MYLU","SW",117173,2025-07-13 03:11:00,"MYLU","117173",3.18333333333333,27.1833333333333,2025-07-12,2001-07-12,"MYLU"
"17","MYLU","SW",117173,2025-07-13 03:29:00,"MYLU","117173",3.48333333333333,27.4833333333333,2025-07-12,2001-07-12,"MYLU"
"18","MYLU","SW",117173,2025-07-13 03:30:00,"MYLU","117173",3.5,27.5,2025-07-12,2001-07-12,"MYLU"
"19","MYLU","SW",117173,2025-07-13 03:31:00,"MYLU","117173",3.51666666666667,27.5166666666667,2025-07-12,2001-07-12,"MYLU"
"20","MYLU","SW",117173,2025-07-13 03:37:00,"MYLU","117173",3.61666666666667,27.6166666666667,2025-07-12,2001-07-12,"MYLU"
"21","MYLU","SW",117173,2025-07-13 03:49:00,"MYLU","117173",3.81666666666667,27.8166666666667,2025-07-12,2001-07-12,"MYLU"
"22","MYLU","SW",117173,2025-07-14 00:37:00,"MYLU","117173",0.616666666666667,24.6166666666667,2025-07-13,2001-07-13,"MYLU"
"23","MYLU","SW",117173,2025-07-14 00:43:00,"MYLU","117173",0.716666666666667,24.7166666666667,2025-07-13,2001-07-13,"MYLU"
"24","MYLU","SW",117173,2025-07-14 00:43:00,"MYLU","117173",0.716666666666667,24.7166666666667,2025-07-13,2001-07-13,"MYLU"
"25","MYLU","SW",117173,2025-07-14 00:46:00,"MYLU","117173",0.766666666666667,24.7666666666667,2025-07-13,2001-07-13,"MYLU"
"26","MYLU","SW",117173,2025-07-14 00:46:00,"MYLU","117173",0.766666666666667,24.7666666666667,2025-07-13,2001-07-13,"MYLU"
"27","MYLU","SW",117173,2025-07-14 00:46:00,"MYLU","117173",0.766666666666667,24.7666666666667,2025-07-13,2001-07-13,"MYLU"
