,species_raw,SiteName,ts,species,Site_key,hr,nh,night_date,x,facet,year
1,MYLU,SW,2025-07-12 00:55,MYLU,sw,0.916666667,24.91666667,2025-07-11,2001-07-11,MYLU,2025
2,MYLU,SW,2025-07-12 01:27,MYLU,sw,1.45,25.45,2025-07-11,2001-07-11,MYLU,2025
3,MYLU,SW,2025-07-12 01:28,MYLU,sw,1.466666667,25.46666667,2025-07-11,2001-07-11,MYLU,2025
4,MYLU,SW,2025-07-12 01:40,MYLU,sw,1.666666667,25.66666667,2025-07-11,2001-07-11,MYLU,2025
5,MYLU,SW,2025-07-12 01:49,MYLU,sw,1.816666667,25.81666667,2025-07-11,2001-07-11,MYLU,2025
6,MYLU,SW,2025-07-12 02:44,MYLU,sw,2.733333333,26.73333333,2025-07-11,2001-07-11,MYLU,2025
7,NOID,SW,2025-07-13 00:37,NOID,sw,0.616666667,24.61666667,2025-07-12,2001-07-12,Unidentified,2025
8,MYLU,SW,2025-07-13 00:48,MYLU,sw,0.8,24.8,2025-07-12,2001-07-12,MYLU,2025
9,NOID,SW,2025-07-13 00:51,NOID,sw,0.85,24.85,2025-07-12,2001-07-12,Unidentified,2025
10,NOID,SW,2025-07-13 01:02,NOID,sw,1.033333333,25.03333333,2025-07-12,2001-07-12,Unidentified,2025
11,MYLU,SW,2025-07-13 01:10,MYLU,sw,1.166666667,25.16666667,2025-07-12,2001-07-12,MYLU,2025
12,MYLU,SW,2025-07-13 01:10,MYLU,sw,1.166666667,25.16666667,2025-07-12,2001-07-12,MYLU,2025
13,MYLU,SW,2025-07-13 01:10,MYLU,sw,1.166666667,25.16666667,2025-07-12,2001-07-12,MYLU,2025
14,MYLU,SW,2025-07-13 01:28,MYLU,sw,1.466666667,25.46666667,2025-07-12,2001-07-12,MYLU,2025
15,MYLU,SW,2025-07-13 01:28,MYLU,sw,1.466666667,25.46666667,2025-07-12,2001-07-12,MYLU,2025
