"","Name","Year","Species","Calls"
"1","Douglas",2020,"LACI",0
"2","Douglas",2020,"LANO",1
"3","Douglas",2020,"MYCA",0
"4","Douglas",2020,"MYEV",200
"5","Douglas",2020,"MYLU",277
"6","Douglas",2020,"MYVO",0
"7","Douglas",2020,"MYYU",0
"8","Douglas",2021,"LACI",0
"9","Douglas",2021,"LANO",1
"10","Douglas",2021,"MYCA",13
"11","Douglas",2021,"MYEV",33
"12","Douglas",2021,"MYLU",717
"13","Douglas",2021,"MYVO",0
"14","Douglas",2021,"MYYU",0
"15","Douglas",2022,"LACI",0
"16","Douglas",2022,"LANO",0
"17","Douglas",2022,"MYCA",10
"18","Douglas",2022,"MYEV",87
"19","Douglas",2022,"MYLU",1928
"20","Douglas",2022,"MYVO",0
"21","Douglas",2022,"MYYU",0
"22","Douglas",2023,"LACI",0
"23","Douglas",2023,"LANO",2
"24","Douglas",2023,"MYCA",16
"25","Douglas",2023,"MYEV",62
"26","Douglas",2023,"MYLU",1617
"27","Douglas",2023,"MYVO",0
"28","Douglas",2023,"MYYU",0
"29","Douglas",2024,"LACI",0
"30","Douglas",2024,"LANO",9
"31","Douglas",2024,"MYCA",61
"32","Douglas",2024,"MYEV",174
"33","Douglas",2024,"MYLU",4162
"34","Douglas",2024,"MYVO",0
"35","Douglas",2024,"MYYU",0
"36","Douglas",2025,"LACI",0
"37","Douglas",2025,"LANO",1
"38","Douglas",2025,"MYCA",0
"39","Douglas",2025,"MYEV",8
"40","Douglas",2025,"MYLU",175
"41","Douglas",2025,"MYVO",0
"42","Douglas",2025,"MYYU",0
"43","Hoonah",2020,"LACI",0
"44","Hoonah",2020,"LANO",0
"45","Hoonah",2020,"MYCA",0
"46","Hoonah",2020,"MYEV",0
"47","Hoonah",2020,"MYLU",4
"48","Hoonah",2020,"MYVO",0
"49","Hoonah",2020,"MYYU",0
"50","Hoonah",2021,"LACI",0
"51","Hoonah",2021,"LANO",1
"52","Hoonah",2021,"MYCA",42
"53","Hoonah",2021,"MYEV",27
"54","Hoonah",2021,"MYLU",1701
"55","Hoonah",2021,"MYVO",0
"56","Hoonah",2021,"MYYU",0
"57","Hoonah",2022,"LACI",0
"58","Hoonah",2022,"LANO",4
"59","Hoonah",2022,"MYCA",5
"60","Hoonah",2022,"MYEV",8
"61","Hoonah",2022,"MYLU",39
"62","Hoonah",2022,"MYVO",0
"63","Hoonah",2022,"MYYU",0
"64","Hoonah",2023,"LACI",0
"65","Hoonah",2023,"LANO",1
"66","Hoonah",2023,"MYCA",28
"67","Hoonah",2023,"MYEV",35
"68","Hoonah",2023,"MYLU",2141
"69","Hoonah",2023,"MYVO",0
"70","Hoonah",2023,"MYYU",0
"71","Hoonah",2024,"LACI",0
"72","Hoonah",2024,"LANO",12
"73","Hoonah",2024,"MYCA",6
"74","Hoonah",2024,"MYEV",10
"75","Hoonah",2024,"MYLU",74
"76","Hoonah",2024,"MYVO",0
"77","Hoonah",2024,"MYYU",0
"78","Ketchikan",2019,"LACI",4
"79","Ketchikan",2019,"LANO",22
"80","Ketchikan",2019,"MYCA",46
"81","Ketchikan",2019,"MYEV",116
"82","Ketchikan",2019,"MYLU",219
"83","Ketchikan",2019,"MYVO",37
"84","Ketchikan",2019,"MYYU",12
"85","Ketchikan",2020,"LACI",3
"86","Ketchikan",2020,"LANO",162
"87","Ketchikan",2020,"MYCA",36
"88","Ketchikan",2020,"MYEV",15
"89","Ketchikan",2020,"MYLU",15
"90","Ketchikan",2020,"MYVO",19
"91","Ketchikan",2020,"MYYU",0
"92","Ketchikan",2021,"LACI",7
"93","Ketchikan",2021,"LANO",325
"94","Ketchikan",2021,"MYCA",27
"95","Ketchikan",2021,"MYEV",39
"96","Ketchikan",2021,"MYLU",150
"97","Ketchikan",2021,"MYVO",32
"98","Ketchikan",2021,"MYYU",0
"99","Ketchikan",2022,"LACI",43
"100","Ketchikan",2022,"LANO",265
"101","Ketchikan",2022,"MYCA",351
"102","Ketchikan",2022,"MYEV",226
"103","Ketchikan",2022,"MYLU",210
"104","Ketchikan",2022,"MYVO",188
"105","Ketchikan",2022,"MYYU",9
"106","Ketchikan",2023,"LACI",0
"107","Ketchikan",2023,"LANO",233
"108","Ketchikan",2023,"MYCA",48
"109","Ketchikan",2023,"MYEV",25
"110","Ketchikan",2023,"MYLU",23
"111","Ketchikan",2023,"MYVO",21
"112","Ketchikan",2023,"MYYU",1
"113","Ketchikan",2024,"LACI",17
"114","Ketchikan",2024,"LANO",1795
"115","Ketchikan",2024,"MYCA",435
"116","Ketchikan",2024,"MYEV",171
"117","Ketchikan",2024,"MYLU",331
"118","Ketchikan",2024,"MYVO",203
"119","Ketchikan",2024,"MYYU",12
"120","Ketchikan",2025,"LACI",16
"121","Ketchikan",2025,"LANO",1311
"122","Ketchikan",2025,"MYCA",111
"123","Ketchikan",2025,"MYEV",126
"124","Ketchikan",2025,"MYLU",439
"125","Ketchikan",2025,"MYVO",198
"126","Ketchikan",2025,"MYYU",11
"127","POW",2019,"LACI",0
"128","POW",2019,"LANO",0
"129","POW",2019,"MYCA",228
"130","POW",2019,"MYEV",75
"131","POW",2019,"MYLU",1856
"132","POW",2019,"MYVO",171
"133","POW",2019,"MYYU",0
"134","POW",2020,"LACI",51
"135","POW",2020,"LANO",55
"136","POW",2020,"MYCA",228
"137","POW",2020,"MYEV",67
"138","POW",2020,"MYLU",2310
"139","POW",2020,"MYVO",146
"140","POW",2020,"MYYU",0
"141","POW",2022,"LACI",0
"142","POW",2022,"LANO",1
"143","POW",2022,"MYCA",0
"144","POW",2022,"MYEV",26
"145","POW",2022,"MYLU",0
"146","POW",2022,"MYVO",6
"147","POW",2022,"MYYU",0
"148","POW",2023,"LACI",1
"149","POW",2023,"LANO",36
"150","POW",2023,"MYCA",112
"151","POW",2023,"MYEV",45
"152","POW",2023,"MYLU",738
"153","POW",2023,"MYVO",85
"154","POW",2023,"MYYU",0
"155","POW",2024,"LACI",2
"156","POW",2024,"LANO",361
"157","POW",2024,"MYCA",410
"158","POW",2024,"MYEV",266
"159","POW",2024,"MYLU",6330
"160","POW",2024,"MYVO",447
"161","POW",2024,"MYYU",0
"162","Petersburg",2019,"LACI",0
"163","Petersburg",2019,"LANO",0
"164","Petersburg",2019,"MYCA",189
"165","Petersburg",2019,"MYEV",43
"166","Petersburg",2019,"MYLU",251
"167","Petersburg",2019,"MYVO",14
"168","Petersburg",2019,"MYYU",0
"169","Petersburg",2020,"LACI",0
"170","Petersburg",2020,"LANO",2
"171","Petersburg",2020,"MYCA",87
